date,close
2019-06-19,27.65
2019-06-20,28.25
2019-06-21,28.190001
2019-06-24,28.200001
2019-06-25,28.040001
2019-06-26,28.190001
2019-06-27,28.26
2019-06-28,28.299999
2019-07-01,28.629999
2019-07-02,28.559999
2019-07-03,28.450001
2019-07-04,28.67
2019-07-05,28.34
2019-07-08,28.17
2019-07-09,28.09
2019-07-10,28.32
2019-07-11,28.280001
2019-07-12,28.25
2019-07-15,28.389999
2019-07-16,28.459999
2019-07-17,28.290001
2019-07-18,28.299999
2019-07-19,28.41
2019-07-22,28.35
2019-07-23,28.27
2019-07-24,28.32
2019-07-25,28.15
2019-07-26,28.1
2019-07-29,28.01
2019-07-30,27.879999
2019-07-31,27.809999
2019-08-01,27.75
2019-08-02,26.719999
2019-08-05,25.85
2019-08-06,25.969999
2019-08-07,25.99
2019-08-08,26.469999
2019-08-09,26.370001
2019-08-12,25.969999
2019-08-13,26.26
2019-08-14,25.700001
2019-08-15,25.67
2019-08-16,26.040001
2019-08-19,26.23
2019-08-20,26.26
2019-08-21,26.42
2019-08-22,26.139999
2019-08-23,25.889999
2019-08-27,25.98
2019-08-28,25.969999
2019-08-29,26.209999
2019-08-30,26.370001
2019-09-02,26.35
2019-09-03,26.27
2019-09-04,26.709999
2019-09-05,27.059999
2019-09-06,27.18
2019-09-09,27.264999
2019-09-10,27.120001
2019-09-11,27.379999
2019-09-12,27.620001
2019-09-13,27.799999
2019-09-16,27.65
2019-09-17,27.5
2019-09-18,27.450001
2019-09-19,27.52
2019-09-20,27.530001
2019-09-23,27.41
2019-09-24,27.219999
2019-09-25,27.049999
2019-09-26,27.09
2019-09-27,27.16
2019-09-30,27.01
2019-10-01,26.83
2019-10-02,26.5
2019-10-03,26.77
2019-10-04,26.860001
2019-10-07,26.870001
2019-10-08,26.6
2019-10-09,26.77
2019-10-10,27.07
2019-10-11,27.629999
2019-10-14,27.370001
2019-10-15,27.559999
2019-10-16,27.629999
2019-10-17,27.790001
2019-10-18,27.74
2019-10-21,27.76
2019-10-22,27.959999
2019-10-23,27.860001
2019-10-24,28.01
2019-10-25,28.1
2019-10-28,28.33
2019-10-29,28.200001
2019-10-30,28.120001
2019-10-31,28.0
2019-11-01,28.450001
2019-11-04,28.780001
2019-11-05,28.879999
2019-11-06,28.940001
2019-11-07,29.059999
2019-11-08,28.83
2019-11-11,28.549999
2019-11-12,28.5
2019-11-13,28.200001
2019-11-14,28.200001
2019-11-15,28.5
2019-11-18,28.5
2019-11-19,28.450001
2019-11-20,28.43
2019-11-21,28.200001
2019-11-22,28.23
2019-11-25,28.52
2019-11-26,28.34
2019-11-27,28.42
2019-11-28,28.41
2019-11-29,28.139999
2019-12-02,28.040001
2019-12-03,27.809999
2019-12-04,28.17
2019-12-05,28.24
2019-12-06,28.4
2019-12-09,28.42
2019-12-10,28.440001
2019-12-11,28.67
2019-12-12,29.16
2019-12-13,29.25
2019-12-16,29.59
2019-12-17,29.75
2019-12-18,29.85
2019-12-19,29.93
2019-12-20,30.01
2019-12-23,30.02
2019-12-24,30.030001
2019-12-27,30.360001
2019-12-30,30.280001
2019-12-31,30.209999
2020-01-02,30.65
2020-01-03,30.43
2020-01-06,30.16
2020-01-07,30.16
2020-01-08,30.18
2020-01-09,30.530001
2020-01-10,30.690001
2020-01-13,30.98
2020-01-14,30.9
2020-01-15,30.790001
2020-01-16,30.92
2020-01-17,31.01
2020-01-20,30.99
2020-01-21,30.530001
2020-01-22,30.879999
2020-01-23,30.08
2020-01-24,30.24
2020-01-27,29.030001
2020-01-28,29.379999
2020-01-29,29.459999
2020-01-30,28.809999
2020-01-31,28.42
2020-02-03,28.77
2020-02-04,29.629999
2020-02-05,29.700001
2020-02-06,29.809999
2020-02-07,29.379999
2020-02-10,29.370001
2020-02-11,29.83
2020-02-12,30.15
2020-02-13,29.92
2020-02-14,29.879999
2020-02-17,30.040001
2020-02-18,29.639999
2020-02-19,29.860001
2020-02-20,29.32
2020-02-21,29.35
2020-02-24,28.190001
2020-02-25,28.200001
2020-02-26,28.42
2020-02-27,27.610001
2020-02-28,26.860001
2020-03-02,27.459999
2020-03-03,27.99
2020-03-04,28.030001
2020-03-05,27.98
2020-03-06,27.030001
2020-03-09,25.33
2020-03-10,25.690001
2020-03-11,25.5
2020-03-12,22.365
2020-03-13,23.530001
2020-03-16,22.055
2020-03-17,22.33
2020-03-18,20.709999
