date,close
2026-06-12,160.949997
2026-06-15,192.5
2026-06-16,211.389999
2026-06-17,191.820007
2026-06-18,185.0
2026-06-22,154.600006
2026-06-23,156.110001
2026-06-24,154.539993
2026-06-25,153.0
2026-06-26,153.229996
2026-06-29,164.190002
2026-06-30,170.860001
2026-07-01,157.539993
2026-07-02,162.0
2026-07-06,160.419998
2026-07-07,149.470001
2026-07-08,148.300003
2026-07-09,152.160004
2026-07-10,145.300003
2026-07-13,139.139999
2026-07-14,136.080002
2026-07-15,135.270004
2026-07-16,131.110001
2026-07-17,123.989998
2026-07-20,119.849998
2026-07-21,123.540001
2026-07-22,115.260002
2026-07-23,118.239998
2026-07-24,115.07
