date,close
2019-06-19,14.17
2019-06-20,14.45
2019-06-21,14.36
2019-06-24,14.46
2019-06-25,14.38
2019-06-26,14.32
2019-06-27,14.28
2019-06-28,14.33
2019-07-01,14.18
2019-07-02,14.29
2019-07-03,14.32
2019-07-05,14.06
2019-07-08,14.05
2019-07-09,14.14
2019-07-10,14.26
2019-07-11,14.17
2019-07-12,14.26
2019-07-15,14.42
2019-07-16,14.54
2019-07-17,14.94
2019-07-18,15.29
2019-07-19,15.17
2019-07-22,15.35
2019-07-23,15.34
2019-07-24,15.52
2019-07-25,15.36
2019-07-26,15.31
2019-07-29,15.4
2019-07-30,15.5
2019-07-31,15.21
2019-08-01,15.34
2019-08-02,15.19
2019-08-05,15.33
2019-08-06,15.38
2019-08-07,15.97
2019-08-08,15.89
2019-08-09,15.89
2019-08-12,15.98
2019-08-13,15.87
2019-08-14,16.08
2019-08-15,16.129999
2019-08-16,16.02
2019-08-19,15.79
2019-08-20,16.049999
2019-08-21,16.049999
2019-08-22,15.97
2019-08-23,16.35
2019-08-26,16.52
2019-08-27,17.030001
2019-08-28,17.17
2019-08-29,17.07
2019-08-30,17.15
2019-09-03,17.889999
2019-09-04,18.34
2019-09-05,17.41
2019-09-06,16.870001
2019-09-09,16.83
2019-09-10,16.85
2019-09-11,16.950001
2019-09-12,16.92
2019-09-13,16.309999
2019-09-16,16.74
2019-09-17,16.860001
2019-09-18,16.549999
2019-09-19,16.620001
2019-09-20,16.799999
2019-09-23,17.51
2019-09-24,17.440001
2019-09-25,16.709999
2019-09-26,16.67
2019-09-27,16.360001
2019-09-30,15.92
2019-10-01,16.15
2019-10-02,16.43
2019-10-03,16.43
2019-10-04,16.41
2019-10-07,16.299999
2019-10-08,16.610001
2019-10-09,16.6
2019-10-10,16.370001
2019-10-11,16.370001
2019-10-14,16.49
2019-10-15,16.27
2019-10-16,16.26
2019-10-17,16.4
2019-10-18,16.41
2019-10-21,16.41
2019-10-22,16.370001
2019-10-23,16.389999
2019-10-24,16.65
2019-10-25,16.889999
2019-10-28,16.68
2019-10-29,16.65
2019-10-30,16.73
2019-10-31,16.92
2019-11-01,16.92
2019-11-04,16.85
2019-11-05,16.440001
2019-11-06,16.469999
2019-11-07,16.0
2019-11-08,15.7
2019-11-11,15.75
2019-11-12,15.72
2019-11-13,15.83
2019-11-14,15.9
2019-11-15,15.85
2019-11-18,15.92
2019-11-19,16.02
2019-11-20,16.040001
2019-11-21,15.99
2019-11-22,15.9
2019-11-25,15.78
2019-11-26,15.99
2019-11-27,15.84
2019-11-29,15.92
2019-12-02,15.8
2019-12-03,16.049999
2019-12-04,15.76
2019-12-05,15.85
2019-12-06,15.48
2019-12-09,15.5
2019-12-10,15.57
2019-12-11,15.75
2019-12-12,15.85
2019-12-13,15.84
2019-12-16,15.91
2019-12-17,15.88
2019-12-18,15.9
2019-12-19,15.94
2019-12-20,16.040001
2019-12-23,16.280001
2019-12-24,16.58
2019-12-26,16.73
2019-12-27,16.58
2019-12-30,16.74
2019-12-31,16.68
2020-01-02,16.809999
2020-01-03,16.84
2020-01-06,16.940001
2020-01-07,17.17
2020-01-08,16.93
2020-01-09,16.719999
2020-01-10,16.889999
2020-01-13,16.780001
2020-01-14,16.620001
2020-01-15,16.809999
2020-01-16,16.77
2020-01-17,16.82
2020-01-21,16.639999
2020-01-22,16.66
2020-01-23,16.610001
2020-01-24,16.91
2020-01-27,16.889999
2020-01-28,16.32
2020-01-29,16.41
2020-01-30,16.68
2020-01-31,16.82
2020-02-03,16.5
2020-02-04,16.450001
2020-02-05,16.459999
2020-02-06,16.629999
2020-02-07,16.540001
2020-02-10,16.610001
2020-02-11,16.48
2020-02-12,16.33
2020-02-13,16.459999
2020-02-14,16.559999
2020-02-18,17.01
2020-02-19,17.23
2020-02-20,17.139999
2020-02-21,17.280001
2020-02-24,17.4
2020-02-25,16.709999
2020-02-26,16.68
2020-02-27,16.469999
2020-02-28,15.53
2020-03-02,15.56
2020-03-03,16.02
2020-03-04,16.09
2020-03-05,16.299999
2020-03-06,16.18
2020-03-09,15.88
2020-03-10,15.73
2020-03-11,15.63
2020-03-12,14.62
2020-03-13,13.69
2020-03-16,12.0
2020-03-17,11.88
2020-03-18,11.21
2020-03-19,11.32
2020-03-20,11.62
2020-03-23,12.31
2020-03-24,13.29
2020-03-25,13.51
2020-03-26,13.53
2020-03-27,13.44
2020-03-30,13.16
2020-03-31,13.05
2020-04-01,13.02
2020-04-02,13.53
2020-04-03,13.46
2020-04-06,14.03
2020-04-07,13.99
2020-04-08,13.94
2020-04-09,14.34
2020-04-13,14.4
2020-04-14,14.65
2020-04-15,14.49
2020-04-16,14.51
2020-04-17,14.15
2020-04-20,14.26
2020-04-21,13.88
2020-04-22,14.09
2020-04-23,14.21
2020-04-24,14.21
2020-04-27,14.21
2020-04-28,14.1
2020-04-29,14.28
2020-04-30,13.98
2020-05-01,13.92
2020-05-04,13.77
2020-05-05,13.93
2020-05-06,13.92
2020-05-07,14.26
2020-05-08,14.44
2020-05-11,14.44
2020-05-12,14.42
2020-05-13,14.55
2020-05-14,14.81
2020-05-15,15.51
2020-05-18,15.79
2020-05-19,16.17
2020-05-20,16.360001
2020-05-21,15.96
2020-05-22,16.040001
2020-05-26,15.97
2020-05-27,16.15
2020-05-28,16.190001
2020-05-29,16.66
2020-06-01,17.1
2020-06-02,16.84
2020-06-03,16.48
2020-06-04,16.540001
2020-06-05,16.200001
2020-06-08,16.59
2020-06-09,16.42
2020-06-10,16.959999
2020-06-11,16.440001
2020-06-12,16.280001
2020-06-15,16.23
2020-06-16,16.26
2020-06-17,16.33
2020-06-18,16.209999
2020-06-19,16.49
2020-06-22,16.5
2020-06-23,16.76
2020-06-24,16.280001
2020-06-25,16.59
2020-06-26,16.629999
2020-06-29,16.65
2020-06-30,17.01
2020-07-01,16.82
2020-07-02,16.709999
2020-07-06,17.049999
2020-07-07,17.01
2020-07-08,17.49
2020-07-09,17.379999
2020-07-10,17.43
2020-07-13,17.73
2020-07-14,17.969999
2020-07-15,18.17
2020-07-16,17.780001
2020-07-17,18.01
2020-07-20,18.530001
2020-07-21,19.67
2020-07-22,21.440001
2020-07-23,21.030001
2020-07-24,21.209999
2020-07-27,22.83
2020-07-28,22.77
2020-07-29,22.57
2020-07-30,21.76
2020-07-31,22.65
2020-08-03,22.74
2020-08-04,24.25
2020-08-05,25.049999
2020-08-06,26.879999
2020-08-07,26.190001
2020-08-10,27.0
2020-08-11,23.33
2020-08-12,23.42
2020-08-13,25.450001
2020-08-14,24.58
2020-08-17,25.620001
2020-08-18,25.879999
2020-08-19,24.879999
2020-08-20,25.610001
2020-08-21,24.9
2020-08-24,24.6
2020-08-25,24.76
2020-08-26,25.57
2020-08-27,25.16
2020-08-28,25.610001
2020-08-31,26.23
2020-09-01,26.139999
2020-09-02,25.549999
2020-09-03,24.74
2020-09-04,25.059999
2020-09-08,24.75
2020-09-09,25.18
2020-09-10,24.860001
2020-09-11,24.9
2020-09-14,25.290001
2020-09-15,25.23
2020-09-16,25.23
2020-09-17,25.23
2020-09-18,24.93
2020-09-21,23.030001
2020-09-22,22.790001
2020-09-23,21.17
2020-09-24,21.559999
2020-09-25,21.299999
2020-09-28,22.02
2020-09-29,22.5
2020-09-30,21.639999
2020-10-01,22.09
2020-10-02,22.129999
2020-10-05,22.620001
2020-10-06,21.73
2020-10-07,22.09
2020-10-08,22.18
2020-10-09,23.41
2020-10-12,23.33
2020-10-13,22.49
2020-10-14,22.540001
2020-10-15,22.59
2020-10-16,22.42
2020-10-19,22.58
2020-10-20,23.02
2020-10-21,23.290001
2020-10-22,22.959999
2020-10-23,22.940001
2020-10-26,22.610001
2020-10-27,22.73
2020-10-28,21.780001
2020-10-29,21.709999
2020-10-30,21.99
2020-11-02,22.41
2020-11-03,22.440001
2020-11-04,22.24
2020-11-05,23.610001
2020-11-06,23.790001
2020-11-09,22.5
2020-11-10,22.43
2020-11-11,22.52
2020-11-12,22.549999
2020-11-13,22.9
2020-11-16,23.02
2020-11-17,22.74
2020-11-18,22.549999
2020-11-19,22.42
2020-11-20,22.49
2020-11-23,21.93
2020-11-24,21.629999
2020-11-25,21.719999
2020-11-27,21.049999
2020-11-30,21.049999
2020-12-01,22.299999
2020-12-02,22.33
2020-12-03,22.43
2020-12-04,22.48
2020-12-07,22.82
2020-12-08,22.82
2020-12-09,22.23
2020-12-10,22.32
2020-12-11,22.26
2020-12-14,22.16
2020-12-15,22.799999
2020-12-16,23.620001
2020-12-17,24.15
2020-12-18,23.959999
2020-12-21,24.379999
2020-12-22,23.43
2020-12-23,23.799999
2020-12-24,23.959999
2020-12-28,24.43
2020-12-29,24.389999
2020-12-30,24.76
2020-12-31,24.57
2021-01-04,25.35
2021-01-05,25.67
2021-01-06,25.34
2021-01-07,25.26
2021-01-08,23.51
2021-01-11,23.209999
2021-01-12,23.719999
2021-01-13,23.440001
2021-01-14,23.709999
2021-01-15,22.950001
2021-01-19,23.379999
2021-01-20,24.01
2021-01-21,24.15
2021-01-22,23.66
2021-01-25,23.549999
2021-01-26,23.65
2021-01-27,23.42
2021-01-28,24.719999
2021-01-29,24.99
2021-02-01,26.76
2021-02-02,24.540001
2021-02-03,24.93
2021-02-04,24.48
2021-02-05,24.950001
2021-02-08,25.389999
2021-02-09,25.280001
2021-02-10,25.07
2021-02-11,25.09
2021-02-12,25.309999
2021-02-16,25.26
2021-02-17,25.4
2021-02-18,25.059999
2021-02-19,25.26
2021-02-22,26.27
2021-02-23,25.709999
2021-02-24,25.940001
2021-02-25,25.4
2021-02-26,24.66
2021-03-01,24.6
2021-03-02,24.799999
2021-03-03,24.280001
2021-03-04,23.559999
2021-03-05,23.360001
2021-03-08,23.32
2021-03-09,24.049999
2021-03-10,24.32
2021-03-11,24.25
2021-03-12,24.030001
2021-03-15,24.33
2021-03-16,24.1
2021-03-17,24.42
2021-03-18,24.1
2021-03-19,24.309999
2021-03-22,23.940001
2021-03-23,23.219999
2021-03-24,23.24
2021-03-25,23.290001
2021-03-26,23.23
2021-03-29,22.91
2021-03-30,22.26
2021-03-31,22.700001
2021-04-01,23.15
2021-04-05,23.09
2021-04-06,23.34
2021-04-07,23.33
2021-04-08,23.620001
2021-04-09,23.41
2021-04-12,23.040001
2021-04-13,23.51
2021-04-14,23.59
2021-04-15,24.030001
2021-04-16,24.09
2021-04-19,23.98
2021-04-20,23.959999
2021-04-21,24.700001
2021-04-22,24.209999
2021-04-23,24.139999
2021-04-26,24.299999
2021-04-27,24.389999
2021-04-28,24.4
2021-04-29,24.25
2021-04-30,24.01
2021-05-03,24.959999
2021-05-04,24.57
2021-05-05,24.57
2021-05-06,25.370001
2021-05-07,25.469999
2021-05-10,25.35
2021-05-11,25.67
2021-05-12,25.09
2021-05-13,25.16
2021-05-14,25.459999
2021-05-17,26.190001
2021-05-18,26.15
2021-05-19,25.73
2021-05-20,25.790001
2021-05-21,25.530001
2021-05-24,25.75
2021-05-25,25.99
2021-05-26,25.67
2021-05-27,25.85
2021-05-28,25.9
2021-06-01,25.84
2021-06-02,26.15
2021-06-03,25.459999
2021-06-04,25.780001
2021-06-07,25.9
2021-06-08,25.610001
2021-06-09,25.780001
2021-06-10,25.969999
2021-06-11,25.870001
2021-06-14,25.84
2021-06-15,25.65
2021-06-16,25.26
2021-06-17,24.049999
2021-06-18,23.879999
2021-06-21,24.08
2021-06-22,23.85
2021-06-23,23.93
2021-06-24,24.040001
2021-06-25,24.18
2021-06-28,24.209999
2021-06-29,23.889999
2021-06-30,24.219999
2021-07-01,24.110001
2021-07-02,24.549999
2021-07-06,24.23
2021-07-07,24.24
2021-07-08,24.01
2021-07-09,24.190001
2021-07-12,24.280001
2021-07-13,24.08
2021-07-14,24.33
2021-07-15,24.379999
2021-07-16,23.77
2021-07-19,23.290001
2021-07-20,23.139999
2021-07-21,23.42
2021-07-22,23.559999
2021-07-23,23.35
2021-07-26,23.360001
2021-07-27,22.959999
2021-07-28,23.17
2021-07-29,23.719999
2021-07-30,23.629999
2021-08-02,23.530001
2021-08-03,23.68
2021-08-04,23.540001
2021-08-05,23.299999
2021-08-06,22.52
2021-08-09,21.75
2021-08-10,21.620001
2021-08-11,21.84
2021-08-12,21.5
2021-08-13,21.969999
2021-08-16,22.1
2021-08-17,21.9
2021-08-18,21.76
2021-08-19,21.51
2021-08-20,21.35
2021-08-23,21.879999
2021-08-24,22.08
2021-08-25,22.09
2021-08-26,21.85
2021-08-27,22.33
2021-08-30,22.26
2021-08-31,22.139999
2021-09-01,22.370001
2021-09-02,22.139999
2021-09-03,22.879999
2021-09-07,22.51
2021-09-08,22.17
2021-09-09,22.27
2021-09-10,21.99
2021-09-13,21.99
2021-09-14,22.1
